diaObjectId,days ago,sherlock,nDiaSources,psfFlux,absMag
313853533669556339,0.2,AGN,1049,1912,
170028510676516992,0.2,AGN,638,1,
313853517471154276,0.2,AGN,1264,7593,
313875416771199127,0.2,AGN,892,2242,
170019716255973493,0.2,SN,902,7397,-18.3
170028500566147171,0.2,AGN,1107,1,
313871013292539959,0.2,AGN,1151,7205,
313871013307220019,0.2,AGN,1002,2489,
170028500578730090,0.2,AGN,1109,1,
313871013390057473,0.2,AGN,1170,10763,
313853517544554601,0.2,AGN,1060,3211,
313875416785879049,0.2,AGN,1115,7990,
313853517557137498,0.2,AGN,934,2841,
313980947917176921,0.2,AGN,831,2858,
313888627085017124,0.2,AGN,82,3020,
313853517561856105,0.2,AGN,643,2045,
170028500588691608,0.2,AGN,432,1,
170028500590264433,0.2,AGN,1028,1,
170028510790287439,0.2,AGN,844,13285,
313871014064291960,0.2,AGN,230,3122,
313888627086590013,0.2,AGN,139,1909,
313853517592264831,0.2,AGN,481,5178,
313862203325808648,0.2,AGN,1237,7846,
170028510880989380,0.2,SN,1005,1,
170050498847047681,0.2,SN,42,4503,-15.5
170028500604420198,0.2,AGN,1111,1,
313879819430920212,0.2,AGN,1188,15907,
170028500605468812,0.2,AGN,994,1,
313972182532751516,0.2,AGN,1094,1,
170032905024176397,0.2,SN,34,1,
170028500609663119,0.2,AGN,965,1,
170028500610187388,0.2,AGN,1027,1,
170028510925554093,0.2,AGN,830,1,
313853517724909607,0.2,AGN,933,6438,
170028500615430254,0.2,AGN,846,1,
170028500615430261,0.2,AGN,1113,1,
170046089928376424,0.2,SN,889,6902,
313972182562111629,0.2,AGN,176,3206,
313998534957858832,0.2,AGN,1111,3909,
170046091650138125,0.2,AGN,111,4881,
170046091685265477,0.2,AGN,98,5886,
313875416814715013,0.2,AGN,125,1939,
313853518009598070,0.2,AGN,1203,7052,
313853518020608078,0.2,AGN,754,2194,
313871015532298250,0.2,AGN,961,7139,
313853533035692089,0.2,AGN,1025,5772,
313871015679623373,0.2,AGN,945,1,
313888627040976912,0.2,AGN,578,3765,
313875416831492128,0.2,AGN,726,1786,
170028510541774987,0.2,AGN,885,1,
